Date ,Water meter Reading (m3),Daily Water consumption (m3),Water (Production) Consumption Daily (Lts),Boster pump discharge pressure Bar morning/evening,Water Consumption Daily for others (Ltrs),Remarks,Energy meter Readings MDB1 in KWH ADDC,MDB 01 DAILY CONSUMPTION in KWH,Energy meter Readings MDB2 in KWH ADDC,MDB 02 DAILY CONSUMPTION  in KWH,MDB01 & MDB 02 DAILY TOTAL UNIT  in KWH,MDB01 & MDB 02 DAILY TOTAL UNIT  in KWH,HR & Finance Office SMDB 05  in KWH,HR & Finance office Consumption  in KWH,Canteen FDB 04  in KWH,Canteen Second DB in KWH,Canteen Consumption in KWH,Admin FDB 05 in KWH,Admin Ext. DB in KWH,Admin Consumption in KWH,"HR,CANTEEN & ADMIN DAILY TOTAL in KWH",FACTORY DAILY CONSUMPTION  in KWH,FACTORY DAILY CONSUMPTION  in KWH for Daily KPI Disply presentation reference
31-Jan-24,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
02-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
03-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
04-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
05-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
06-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
07-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
08-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
09-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
10-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
11-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
13-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
14-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
15-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
16-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
17-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
18-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
19-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
20-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
21-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
22-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
23-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
24-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
25-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
26-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
27-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
28-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
29-Feb-24,,,,,,,,,,,,,,,,,,,,,,,
01-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
02-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
03-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
04-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
05-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
06-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
07-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
08-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
09-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
10-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
11-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
12-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
13-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
14-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
15-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
16-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
17-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
18-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
19-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
20-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
21-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
22-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
23-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
24-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
25-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
26-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
27-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
28-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
29-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
30-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
31-Mar-24,,,,,,,,,,,,,,,,,,,,,,,
01-Apr-24,,,,,,,,,,,,,,,,,,,,,,,
02-Apr-24,,,,,,,,,,,,,,,,,,,,,,,
03-Apr-24,,,,,,,,,,,,,,,,,,,,,,,
04-Apr-24,,,,,,,,,,,,,,,,,,,,,,,
05-Apr-24,,,,,,,,,,,,,,,,,,,,,,,
06-Apr-24,,,,,,,,,,,,,,,,,,,,,,,
07-Apr-24,,,,,,,,,,,,,,,,,,,,,,,
08-Apr-24,,,,,,,,,,,,,,,,,,,,,,,
09-Apr-24,,,,,,,,,,,,,,,,,,,,,,,
10-Apr-24,,,,,,,,,,,,,,,,,,,,,,,
11-Apr-24,,,,,,,,,,,,,,,,,,,,,,,
12-Apr-24,,,,,,,,,,,,,,,,,,,,,,,
13-Apr-24,,,,,,,,,,,,,,,,,,,,,,,
14-Apr-24,,,,,,,,,,,,,,,,,,,,,,,
15-Apr-24,,,,,,,,,,,,,,,,,,,,,,,
16-Apr-24,,,,,,,,,,,,,,,,,,,,,,,
